AvgTemp,Season,LebanonEvents,AvgPreci,AvgWind,SyriaEvents,trend,lag1,lag2,lag3,lag4,Demand

16,2,2,2.3,10,1,14.8,0,0,0,0,0
17,2,3,0,9,1,15,0,0,0,0,0
13,2,2,5.8,23,4,14.6,0,0,0,0,0
12,2,0,4.1,16,2,11.6,0,0,0,0,0
16,2,2,0.6,9,4,12.6,0,0,0,0,0
17,3,3,0.5,10,7,13.4,0,0,0,0,0
18,3,0,0.9,9,3,14.4,0,0,0,0,0
16,3,1,0.9,14,2,19.8,0,0,0,0,0
18,3,0,0.1,12,3,27.2,0,0,0,0,0
18,3,5,0.2,12,0,28.8,0,0,0,0,1
18,3,4,2.5,13,1,31.2,1,0,0,0,0
17,3,2,1.5,11,2,34.8,0,1,0,0,0
18,3,0,0.2,20,3,39.8,0,0,1,0,0
22,3,4,0,10,0,40,0,0,0,1,1
21,3,3,0,9,1,48,1,0,0,0,1
22,3,0,0.5,9,3,53,1,1,0,0,1
26,3,1,0.3,13,3,58.2,1,1,1,0,1
25,3,0,0.5,11,3,60.6,1,1,1,1,1
23,4,0,0,10,1,65.6,1,1,1,1,1
25,4,1,0,9,1,68.8,1,1,1,1,1
25,4,0,0,12,2,72.8,1,1,1,1,1
26,4,1,0,15,2,78,1,1,1,1,1
26,4,8,9,12,2,76.6,1,1,1,1,1
27,4,11,0,11,2,81,1,1,1,1,1
28,4,5,0,10,1,88.6,1,1,1,1,1
28,4,14,0,9,0,98.6,1,1,1,1,1
28,4,34,0,8,0,114.8,1,1,1,1,1
30,4,40,0,10,1,134.2,1,1,1,1,1
29,4,35,0,11,1,149.8,1,1,1,1,1
30,4,11,0,10,1,149.8,1,1,1,1,1
29,4,8,0,10,2,141.6,1,1,1,1,1
29,1,6,0,8,2,125,1,1,1,1,1
30,1,0,0,9,4,101,1,1,1,1,1
29,1,1,0,9,5,78.6,1,1,1,1,1
28,1,1,0,8,5,60.8,1,1,1,1,1
26,1,0,0.7,11,1,45,1,1,1,1,0
27,1,1,0,8,3,36.6,0,1,1,1,0
27,1,3,0,7,1,36,0,0,1,1,1
22,1,4,9.5,9,2,28.8,1,0,0,1,1
23,1,3,0.2,9,4,32.6,1,1,0,0,0
21,1,2,0.6,9,5,46,0,1,1,0,1
20,1,1,0.4,8,4,46.2,1,0,1,1,1
21,1,4,0,7,3,50.6,1,1,0,1,1
16,1,3,4.9,11,3,52,1,1,1,0,1
16,2,3,0,9,2,47.6,1,1,1,1,0
17,2,2,3.5,8,1,36,0,1,1,1,0
17,2,3,0.1,8,3,33.6,0,0,1,1,0
15,2,5,1.1,13,1,30.4,0,0,0,1,0
15,2,5,4,16,1,32.6,0,0,0,0,1
16,2,1,0.7,8,3,37.2,1,0,0,0,0
14,2,0,2.8,15,1,52.2,0,1,0,0,1
10,2,0,0,14,2,51.2,1,0,1,0,1
15,2,0,0,10,1,44,1,1,0,1,0
15,2,0,0,10,0,39.4,0,1,1,0,0
19,2,1,0.1,8,1,32.6,0,0,1,1,0
17,2,3,3.6,8,2,19.4,0,0,0,1,0
19,2,3,0,8,5,22.4,0,0,0,0,0
18,3,3,0,8,1,24.4,0,0,0,0,0
18,3,2,1.7,18,2,24.6,0,0,0,0,0
19,3,1,0.2,10,1,25.4,0,0,0,0,0
17,3,2,0,10,1,25.2,0,0,0,0,0
21,3,5,0,6,3,20.4,0,0,0,0,0
20,3,3,4,9,0,23.6,0,0,0,0,0
23,3,2,0,6,0,27.4,0,0,0,0,0
22,3,3,0,9,0,28.4,0,0,0,0,0
22,3,5,0.2,11,0,30.4,0,0,0,0,0
22,3,1,0,6,1,39.4,0,0,0,0,0
25,3,4,0,10,1,38.6,0,0,0,0,1
23,3,2,0.7,12,2,47.4,1,0,0,0,0
25,3,0,0,6,3,57.2,0,1,0,0,1
26,4,1,0,10,4,63.8,1,0,1,0,1
26,4,0,0,8,1,73,1,1,0,1,1
17,4,0,0.1,8,2,78.6,1,1,1,0,1
28,4,1,0,9,1,77.6,1,1,1,1,1
28,4,10,0,12,5,78.8,1,1,1,1,1
28,4,15,0,7,2,81.2,1,1,1,1,1
28,4,14,0,9,4,73.6,1,1,1,1,1
28,4,12,0,7,1,72.6,1,1,1,1,1
29,4,9,0,10,2,66.4,1,1,1,1,1
29,4,13,0,9,0,57,1,1,1,1,1
29,4,7,0,7,0,45.8,1,1,1,1,0
29,4,5,0,6,0,42.8,0,1,1,1,0
29,4,1,0,9,1,41.6,0,0,1,1,1
28,1,0,0,8,2,42.4,1,0,0,1,1
28,1,3,0,7,1,47.6,1,1,0,0,1
27,1,0,0.1,8,2,53.6,1,1,1,0,1
26,1,3,0,8,0,51.8,1,1,1,1,1
26,1,2,0,6,0,53.4,1,1,1,1,1
26,1,1,0,6,1,51,1,1,1,1,1
24,1,3,0,7,2,49.8,1,1,1,1,0
25,1,3,0,6,3,43.6,0,1,1,1,1
22,1,4,2,12,1,43,1,0,1,1,0
22,1,3,0,8,1,38.2,0,1,0,1,1
21,1,0,0,10,1,44,1,0,1,0,0
20,1,5,0,8,1,37.4,0,1,0,1,1
18,1,3,0,17,2,35.8,1,0,1,0,0
16,2,4,0,9,1,29.6,0,1,0,1,0
15,2,4,0,13,2,25.4,0,0,1,0,0
13,2,0,0,10,3,15.2,0,0,0,1,0
