Date,Demand
2014-12-28,13
2015-01-11,33
2015-01-25,33
2015-02-08,20
2015-02-22,23
2015-03-08,38
2015-03-22,80
2015-04-05,62
2015-04-19,95
2015-05-03,109
2015-05-17,119
2015-05-31,143
2015-06-14,163
2015-06-28,152
2015-07-12,210
2015-07-26,296
2015-08-09,333
2015-08-23,210
2015-09-06,127
2015-09-20,87
2015-10-04,51
2015-10-18,62
2015-11-01,128
2015-11-15,105
2015-11-29,55
2015-12-13,49
2015-12-27,86
2016-01-10,146
2016-01-24,36
2016-02-07,32
2016-02-21,68
2016-03-06,38
2016-03-20,49
2016-04-03,53
2016-04-17,61
2016-05-01,98
2016-05-15,113
2016-05-29,146
2016-06-12,168
2016-06-26,155
2016-07-10,151
2016-07-24,100
2016-08-07,61
2016-08-21,104
2016-09-04,107
2016-09-18,101
2016-10-02,94
2016-10-16,80
2016-10-30,76
2016-11-13,85
2016-11-27,28
2016-12-11,27
